tweet,label,id
@USER She should ask a few native Americans what their take on this is.,OFF,0
@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL,OFF,1
Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT,NOT,2
"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂""",OFF,3
@USER @USER Obama wanted liberals &amp; illegals to move into red states,NOT,4
@USER Liberals are all Kookoo !!!,OFF,5
@USER @USER Oh noes! Tough shit.,OFF,6
@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,OFF,7
@USER Buy more icecream!!!,NOT,8
@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo,OFF,9
@USER @USER @USER It’s not my fault you support gun control,NOT,10
@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL,NOT,11
@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL,OFF,12
@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!,NOT,13
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.,NOT,14
@USER you are also the king of taste,NOT,15
#MAGA @USER  🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL,NOT,16
"5/5: @USER The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist""",NOT,17
@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂,NOT,18
@USER @USER @USER gun control! That is all these kids are asking for!,OFF,19
@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL,OFF,20
@USER @USER You are correct.,NOT,21
@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?,OFF,22
@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔,OFF,23
@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL,NOT,24
@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..,OFF,25
"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”""  URL #TCOT #MAGA #RedNationRising""",NOT,26
@USER @USER You can tell he is a hooper too,NOT,27
@USER I feel like he is better chasing the title,NOT,28
@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?,OFF,29
@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL,NOT,30
@USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀,NOT,31
